flightNumber,productId,departureAirportCode,departureAirportName,departureCountryCode,departureDate,departureTime,arrivalAirportCode,arrivalAirportName,arrivalCountryCode,arrivalDate,arrivalTime,adultPrice,originalAdultPrice,journeyType,journeyDuration,totalNumberOfStops,carrierCode,carrierName,availableSeats,isCheapest,airportTax,originalAirportTax,bookingFee,originalBookingFee,isOriginalBooking
1113,eJyMkkGP2jAQhf8KGq7j3XESA/EtDmxUiKAKRGyFEIoTp0qXwiqBSiuEf3vlgtTlttc3n948P88FCpAwX85wkme4UsiRkPB7jov5ZB39wChN8dQ2792uK/amw/VEoRgIQNAgNxtQWY5RGqNHns8oYOSt+EAGQhI9aKH0yWluBec+vnBEnI7XCSJstwglyM0F9PH41hx+xvui60DCCweEQ/f2VDphUS9N+6cpDUiYju+TumiNKrqmi4/VbbBOPo2WZr+fmQ+QQHY6tj376luHWE9wspYst/b1zv86ntuD+bjhLjsF5PVWyuXtqSyP0viR/G++UtZRtmetynJLwTN5z86i968MG6Xxg+jasPbu1urq81vb897Mz7+1aV0MwQmuWwSH+JKMF5R1ULEh9z0WcC5YoUch0/WIezQQdcVJvhftqTk1xwOrAxKlz4dMi2rEgrAKmR4OiY2EKUpdDiquK0AwIC+goiSJkom7hsVORcnu2zyGK0INErLJMk9X/a9s798+3WcUSgrdIfj8KRD9+XLWV1nOXInXvwEAAP//3q2stg==,BRU,Brussel,BEL,2023-04-02,16:45,ALC,Alicante,ESP,2023-04-02,19:30,159.99,159.99,Direct,02:45,,TB,TUI fly,10,True,0.0,0.0,,,False
1161,eJyMkt+O2jwQxV8FDbfj3XHi8Md3TsRaH1jwaQGxFUIoTpwqXUpWCVRaIfzslQtSl7venvnpzPEZXyAHCfPlDCfrV1ylyJGQ8P81LuaTjfqGyhg8tfVHt+/yg+twM0kxGSSAYEFut2C0RmUyjCiKGQlG8YoGkkgSPWgjKZKghRV8wPGFI+JUbTQi7HYIBcjtBWzTvNfH79kh7zqQ8MIB4di9PxVBWFRL1/6qCwcSpuo+qfLWpXlXd1lT3gYb/WW0dIfDzH2CBPJT5Xv+LfYB8VHCyXvy3Pu3O/+jObdH93nDQ3YSFPdWacjbM1orkz2Sf81XqQ+U73lvtPYknil+Dha9P2V4ZbIHMbTh/d2tteXXt7bng5uff1rXhhgJJ7juEAISSXKRKCpRsiGPIyY4T1huR2NmqxGPaJBUJSf5kben+lQ3R1YJSoqYD5lNyhET43LM7HBIbJS4vLDFoOS2BAQH8gKp0lrpSfgNi32q9P6/eQZXhAokvE6Wa7Pq/8v2/u3oMaOxpHE4esyfhOD9+XLWN1qz0OL1dwAAAP//LAKsnA==,LGG,Luik,BEL,2023-04-03,06:00,ALC,Alicante,ESP,2023-04-03,08:45,144.99,144.99,Direct,02:45,,TB,TUI fly,10,True,0.0,0.0,,,False
1111,eJyMkt+L4j4Uxf8Vub7ezNy0iT/y1hQtXy36pVqcRUSaNl264+rQ6sIg5m9fsgo7vu3rOR/OPT3NFQpQsFjNcZJnuNbIkZDw/xyXi8km+oZRmuK5bT66fVccbIebiUY5kIBgQG23oLMcozTGgIKQkWAUrmmgSCqiJ22kJHnNn+Cc45Qj4my6SRBht0MoQW2vYE6n9+b4PT4UXQcKphwQjt37S+mFZb2y7a+mtKBgNn04ddFaXXRNF5+qu7FJvlgrezjM7ScoIDebup57C51HXCA5OUeOO/f24H+cLu3Rft5x350Ehb219n17OsujNH4m/4avtfOU6zmns9yReKXw1Uf0/ozhojR+Ev0azj3SWlN9/db2crCLy09jW19DcoLbDsEjUpENRFmLig15GDDBuWSFGY2ZqUc8oIGsK07qo2jPzbk5HVktSJYhHzIjqxET42rMzHBIbCRtUZpyUHFTAYIFdQUdJUmUTPxrWO51lOz/W8RwQ6hBQTZZ5em6/y/X+/efHjIaKxorIVXIX4TsL1bzvs5y5ke8/Q4AAP//372stw==,BRU,Brussel,BEL,2023-04-03,06:05,ALC,Alicante,ESP,2023-04-03,08:50,169.99,169.99,Direct,02:45,,TB,TUI fly,10,False,0.0,0.0,,,False
1101,eJyMkl2L4kwUhP+KHG9Pz5xOuv3ou050wqshvkTFWUQkH50lO64ZEl0YxP7tS6uw7t3eVj3UqVT6AhkoSJZznK5TXAXIkZDw/zUukulGf0Mdx3hq689u32UH0+FmGqAcSEDIQW23oJMUdRyiR57PSDDyVzRSRIroWeOkxE1zJzhxfOOIOJtsIkTY7RAKUNsL5E3zUR+/h4es60DBGweEY/fxUjhhUS1N+6suDCiYTR5OlbUmyLq6C5vybmyiJ2tpDoe5+QIFZGcT27PvvnWI9SQna8lya98f/I/m3B7N1x133UmQ31sFrm9PJ6mOw7/JP+GrwDrK9qzVSWpJvJL/6iJ6tzGsjsNn8baGtY+0Ni+fv7U9H0xy/pmb1tWQnOC6Q3CIp8h4oqhEyYbc95jgXLIsH41ZXo24RwNZlZzUZ9ae6lPdHFklSBY+H7JcliMmxuWY5cMhsZE0WZEXg5LnJSAYUBcIdBTpaOpew2If6Gj/XxLCFaECBel0uY5X/X+53r//dJ/RWNFYCal8/iKk10+W875OUuZWvP4OAAD//yy4rKM=,ANR,Antwerpen,BEL,2023-04-03,08:00,ALC,Alicante,ESP,2023-04-03,10:40,159.99,159.99,Direct,02:40,,TB,TUI fly,10,False,0.0,0.0,,,False
1171,eJyMklFvokAUhf+Kub7eae8wQ9F5A0LJKpFNwdiNMYaBYcPW1QZ0k8Y4v30z1WTr276e8+Xcw2HOUIGCRTHHZPmCZYQcCQm/LzFfJKvwB4ZZhse+ex+2Q7UzA66SCP0nHxA0qPUa8qLEMIvRI08wkoxEyaUSpIjutEB5n5o7wQOOzxwRZ8kqRYTNBqEGtT6DPhzeuv3PeFcNAyh45oCwH94eaifkbWH6P11tQMEsuTlt1ZuoGrohPjRXY5V+sQqz283NByggO0vsyL4K6xDr+ZysJcutfb3xvw6nfm8+rrjrTpLEqIxc31FelGEW35P/wsvIOsqOrM2L0pJ8JPHoIkafY9gwi+9Et4a1t7ReN1+/tT/tzOL0W5ve1fA5wWWD4BChyHiybmXDAi48Jjn3WaUnU6bbCffoyW8bTuq96o/dsTvsWSvJrwUPmPabCZPTZsp0EBCb+Kaqdf3UcN0AggF1hihM0zBN3GvIt1GYbr8tYrggtKDgJSmWWTn+n+vj608XjKaKpkr6SvAHKSfjRTEf50XJ3IqXvwEAAP//x1itIQ==,OST,Brugge-Oostende,BEL,2023-04-03,14:30,ALC,Alicante,ESP,2023-04-03,17:20,164.99,164.99,Direct,02:50,,TB,TUI fly,10,False,0.0,0.0,,,False
1171,eJyMklFvokAUhf+Kub7eae/AjOK8AbFkK5FNwdiNMYaBYcPWlQZ0k8Y4v30z1WTr276e8+Xcw2HOUIKCZb7A+eoFiwg5EhJ+X2G2nK/DHximKR779n3YDeXeDLieRygnEhA0qM0GsrzAMI3RI89nJBiJgiaKSBHdaYGSn5o7waccnzgiPkfrBBG2W4QK1OYMuuve2sPPeF8OAyh44oBwGN4eKidkTW76P21lQMFzdHOasjdRObRD3NVXY518sXKz3y/MBygg+xzZkX31rUOsJzlZS5Zb+3rjf3Wn/mA+rrjrToLEqIhc31GWF2Ea35P/wovIOsqOrM3ywpJ4JPHoIkafY9gwje9Et4a1t7Re11+/tT/tzfL0W5ve1ZCc4LJFcAhXZDxRNaJmU+57THAuWamDGdNNwD2ayKbmpN7L/tge2+7AGkGy8vmUaVkHTMzqGdPTKbFAmrLS1aTmugYEA+oMUZgkYTJ3ryHbRWGy+7aM4YLQgIKXeb5Ki/H/XB9ff7rPaKZopoRUPn8QIhgv88U4ywvmVrz8DQAA//+2+a0X,OST,Brugge-Oostende,BEL,2023-04-04,06:00,ALC,Alicante,ESP,2023-04-04,08:50,149.99,149.99,Direct,02:50,,TB,TUI fly,10,True,0.0,0.0,,,False
1135,eJyMkt2O2jAQhV8FDbfj3XFi8+O7OLBRIYIqELEVQig/TpUuJasEKq0QfvbKBanL3d6e+XTmzLEvkIGCxWqO0zTBtUaOhITfU1wuppvgBwZxjKe2fu/2XXYwHW6mGuVAAkIOarsFnaQYxCF65PmMBCOxpoHiUhE9aGNF5DS3gvsSXzgiziabCBF2O4QC1PYCedO81cef4SHrOlDwwgHh2L09FU5YVivT/qkLAwpmk/ukylqjs67uwqa8DTbRp9HKHA5z8wEKyM4mtmdffesQ60lO1pLl1r7e+V/NuT2ajxvuspMg0Vtrl7enkzSIw0fyv/laW0fZnrU6SS2JZxLPzqL3rwwbxOGD6Nqw9u7W5uXnW9vzwSzOv3PTuhiSE1x3CA7xFBlPFJUo2ZD7HhOcS5blozHLqxH3aCCrkpN6z9pTfaqbI6sEycLnQ5bLcsTEuByzfDgkNpImK/JiUPK8BAQD6gI6iKIgmrrfsNzrINp/W4RwRahAQTJdpfG6/5Xt/duj+8zdOFZCKp8/CdlfrOZ9naTMlXj9GwAA///mMKy7,BRU,Brussel,BEL,2023-04-04,06:15,ALC,Alicante,ESP,2023-04-04,09:00,159.99,159.99,Direct,02:45,,TB,TUI fly,10,False,0.0,0.0,,,False
1101,eJyMkt+L4j4Uxf8Vub7ezNy0iT/ylhanfLXUL1VxFhFp2nTpjqtDqwuDmL99iQrrvu3rOR/OPT3NBQpQkC1mOFnluIyQIyHh/yucZ5O1/oY6TfHUNp/driv2tsP1JEI5kIBgQG02oLMcdRpjQEHISDASSxqqkBTRs8ZJ8ZvmT3Di+MYRcRqvE0TYbhFKUJsLmOPxozl8j/dF14GCNw4Ih+7jpfTCvF7Y9ldTWlAwjR9OXbQ2Krqmi4/V3VgnT9bC7vcz+wUKyE1j13PvofOICyQn58hx594f/I/juT3Yrzvuu5Mg0VtGvm9PZ7lO47/JP+HLyHnK9ZzTWe5IvJJ49RG92xhOp/GzeFvDuUdaa6rnb23Pe5udfxrb+hqSE1y3CB4hRTYQZS0qNuRhwATnkhVmNGamHvGABrKuOKnPoj01p+Z4YLUgWYZ8yIysRkyMqzEzwyGxkbRFacpBxU0FCBbUBSKdJDqZ+Ncw30U62f2XxXBFqEFBPlms0mX/X6737z89ZDRWNFZCqpC/CBn0s8Wsr7Oc+RWvvwMAAP//J7Osnw==,ANR,Antwerpen,BEL,2023-04-04,07:30,ALC,Alicante,ESP,2023-04-04,10:10,154.99,154.99,Direct,02:40,,TB,TUI fly,10,False,0.0,0.0,,,False
1103,eJyMkt+L4j4Uxf8Vub7ezNy0iT/ylhanfLXUL1VxFhFp2nTpjqtDqwuDmL99iQrrvu3rOR/OPT3NBQpQkC1mOFnluIyQIyHh/yucZ5O1/oY6TfHUNp/driv2tsP1JEI5kIBgQG02oLMcdRpjQEHISDASSxqpUCqiZ41zxW+aP8EpxDeOiNN4nSDCdotQgtpcwByPH83he7wvug4UvHFAOHQfL6UX5vXCtr+a0oKCafxw6qK1UdE1XXys7sY6ebIWdr+f2S9QQG4au557D51HXCA5OUeOO/f+4H8cz+3Bft1x350Eid4y8n17Ost1Gv9N/glfRs5TruecznJH4pXEq4/o3cZwOo2fxdsazj3SWlM9f2t73tvs/NPY1teQnOC6RfAIV2QDUdaiYkMeBkxwLllhRmNm6hEPaCDripP6LNpTc2qOB1YLkmXIh8zIasTEuBozMxwSG0lblKYcVNxUgGBBXSDSSaKTiX8N812kk91/WQxXhBoU5JPFKl32/+V6//7TQ0ZjRWMlpAr5i5BBP1vM+jrLmV/x+jsAAP//VtOsvg==,ANR,Antwerpen,BEL,2023-04-04,08:35,ALC,Alicante,ESP,2023-04-04,11:15,154.99,154.99,Direct,02:40,,TB,TUI fly,10,False,0.0,0.0,,,False
1417,eJyMktFu4joQhl8FDbfjduw4BHyHKxqlpYACET0ghEziHGXLQpXAShXCz75yQVq6q5X29p8v30zGcwIDCkbTZxxkKc40ciQknGQ4Hg3m/f+wPxzioa7em3VjtrbB+UBj2AkBYQNquQSdZjh5SVCQCBhJRmJGHRWQIvqS9RSFPvMtJI/wkSPik57HiIDgDYle/PbFHxZOStLfLKsVQg5qeYLNfv9W7f5/2JqmAQWPHBB2zdtd7oNxObX1jyq3oOBJXyulqa02TdU87ItLYR7flKZ2u322H6CA3JN2LfcaOI84EXJyjhx37vXKf9sf6539uOB+dpIkWjPt523pNEv04iv5Sz7TzlOu5ZxOM0fynsS9V7Q+V+oSvbgNP7fhJi+JuwrrTXH7u/Vxa0fH7xtb+0lCTnBeIXiEVB50cknEmSRRMMmjgJlSRMxI241yQaHJS/Vu6kN1qPY7RqKTB11uWGhkwWSwMcxwETFreS/qFmUR2BwQLKgT6H4c9+OBP6vxWvfjdTJ6gDNCCQrSwTQbztr/0r19efeA+dPpKRmqoHsXiV57NH1u6zRjfpHnnwEAAP//AI69OQ==,BRU,Brussel,BEL,2023-04-02,06:30,IBZ,Palma de Mallorca,ESP,2023-04-02,09:05,149.99,149.99,Stop Over,04:10,,TB,TUI fly,10,False,0.0,0.0,,,False
1011,eJyMklGL4j4Uxb+KXF9v/nNTk2rz1kin/FGsVIuziEibxqU7rh1aXRjEfPYlq7Dj276e++Pcc09yhRIULFYzTIoc1xo5EhIuC8wWySb+hvF8jueu+ej3fXm0PW4SjTKUgFCB2m5B5wXG6RIDCkaMBCO+plARKaInLVIkveZXEOf4yhExSzYpIux2CAbU9gpV2743p+/TY9n3oOCVA8Kpf//PeCE7rGz3qzEWFGTJY3IoO6vLvumnbX0fbNIvo5U9Hmf2ExSQyxI3cG8j5xEXSE7OkePOvT34H+2lO9nPO+6zkyA+WGufd6DzIk6Xz+Rf87V2nnID53ReOBIvxF+8xeBPGS5Ol0+ib8O5h1tX1V9v7S5Hu7j8rGznY0hOcNsheISTknwcUBiWbByWIRNBLdgksjUztTmYSoZVbYT6KLtzc27aEztMgjoaScGEFCETxkxYNBoLxsmYqOJhKCcVIFhQV9BxmsZp4r9Dttdxuv9/MYUbwgEU5MmqmK+H/7J9eH/1EfNHRkpIJeRwsZoNdV4wX+HtdwAAAP//tB+tBQ==,BRU,Brussel,BEL,2023-04-01,06:00,AGP,Malaga,ESP,2023-04-01,09:05,329.99,329.99,Direct,03:05,,TB,TUI fly,10,False,0.0,0.0,,,False
