flightNumber,scrapeDate,departureAirportCode,departureAirportName,departureCountryCode,departureDate,departureTime,arrivalAirportCode,arrivalAirportName,arrivalCountryCode,arrivalDate,arrivalTime,adultPrice,originalAdultPrice,journeyType,journeyDuration,totalNumberOfStops,carrierCode,carrierName,availableSeats,isCheapest,airportTax,originalAirportTax,bookingFee,originalBookingFee,isOriginalBooking
1113,2023-03-16,BRU,Brussel,BEL,2023-04-15,17:00,ALC,Alicante,ESP,2023-04-15,19:45,79.99,79.99,Direct,02:45,,TB,TUI fly,10,True,0.0,0.0,,,False
1183,2023-03-16,OST,Brugge-Oostende,BEL,2023-04-16,06:00,ALC,Alicante,ESP,2023-04-16,08:50,139.99,139.99,Direct,02:50,,TB,TUI fly,10,False,0.0,0.0,,,False
1111,2023-03-16,BRU,Brussel,BEL,2023-04-16,06:10,ALC,Alicante,ESP,2023-04-16,08:55,79.99,79.99,Direct,02:45,,TB,TUI fly,10,False,0.0,0.0,,,False
1113,2023-03-16,BRU,Brussel,BEL,2023-04-16,16:30,ALC,Alicante,ESP,2023-04-16,19:15,79.99,79.99,Direct,02:45,,TB,TUI fly,10,True,0.0,0.0,,,False
1161,2023-03-16,LGG,Luik,BEL,2023-04-17,06:00,ALC,Alicante,ESP,2023-04-17,08:45,89.99,89.99,Direct,02:45,,TB,TUI fly,10,False,0.0,0.0,,,False
1111,2023-03-16,BRU,Brussel,BEL,2023-04-17,06:05,ALC,Alicante,ESP,2023-04-17,08:50,89.99,89.99,Direct,02:45,,TB,TUI fly,10,True,0.0,0.0,,,False
1171,2023-03-16,OST,Brugge-Oostende,BEL,2023-04-18,06:00,ALC,Alicante,ESP,2023-04-18,08:50,119.99,119.99,Direct,02:50,,TB,TUI fly,10,True,0.0,0.0,,,False
1135,2023-03-16,BRU,Brussel,BEL,2023-04-18,06:15,ALC,Alicante,ESP,2023-04-18,09:00,149.99,149.99,Direct,02:45,,TB,TUI fly,10,False,0.0,0.0,,,False
1417,2023-03-16,BRU,Brussel,BEL,2023-04-13,06:20,IBZ,Palma de Mallorca,ESP,2023-04-13,08:55,85.99,85.99,Stop Over,04:10,,TB,TUI fly,10,False,0.0,0.0,,,False
1417,2023-03-16,BRU,Brussel,BEL,2023-04-16,06:30,IBZ,Palma de Mallorca,ESP,2023-04-16,09:05,109.99,109.99,Stop Over,04:10,,TB,TUI fly,10,False,0.0,0.0,,,False
1011,2023-03-16,BRU,Brussel,BEL,2023-04-12,06:05,AGP,Malaga,ESP,2023-04-12,09:10,97.99,97.99,Direct,03:05,,TB,TUI fly,10,True,0.0,0.0,,,False
1071,2023-03-16,OST,Brugge-Oostende,BEL,2023-04-12,06:30,AGP,Malaga,ESP,2023-04-12,09:40,119.99,119.99,Direct,03:10,,TB,TUI fly,10,False,0.0,0.0,,,False
1027,2023-03-16,BRU,Brussel,BEL,2023-04-13,06:05,AGP,Malaga,ESP,2023-04-13,09:10,97.99,97.99,Direct,03:05,,TB,TUI fly,10,False,0.0,0.0,,,False
1071,2023-03-16,OST,Brugge-Oostende,BEL,2023-04-13,06:25,AGP,Malaga,ESP,2023-04-13,09:35,99.99,99.99,Direct,03:10,,TB,TUI fly,10,False,0.0,0.0,,,False
1001,2023-03-16,ANR,Antwerpen,BEL,2023-04-13,08:05,AGP,Malaga,ESP,2023-04-13,11:10,349.99,349.99,Direct,03:05,,TB,TUI fly,2,False,0.0,0.0,,,False
1013,2023-03-16,BRU,Brussel,BEL,2023-04-13,15:55,AGP,Malaga,ESP,2023-04-13,19:00,97.99,97.99,Direct,03:05,,TB,TUI fly,10,True,0.0,0.0,,,False
1071,2023-03-16,OST,Brugge-Oostende,BEL,2023-04-14,06:00,AGP,Malaga,ESP,2023-04-14,09:10,99.99,99.99,Direct,03:10,,TB,TUI fly,10,False,0.0,0.0,,,False
1011,2023-03-16,BRU,Brussel,BEL,2023-04-14,06:00,AGP,Malaga,ESP,2023-04-14,09:05,95.99,95.99,Direct,03:05,,TB,TUI fly,9,True,0.0,0.0,,,False
1161,2023-03-16,LGG,Luik,BEL,2023-04-14,06:00,AGP,Alicante,ESP,2023-04-14,08:45,114.99,114.99,Stop Over,04:50,,TB,TUI fly,10,False,0.0,0.0,,,False
1003,2023-03-16,ANR,Antwerpen,BEL,2023-04-14,14:50,AGP,Malaga,ESP,2023-04-14,17:55,184.99,184.99,Direct,03:05,,TB,TUI fly,10,False,0.0,0.0,,,False
