flightKey,flightNumber,scrapeDate,departureAirportCode,departureAirportName,departureCountryCode,departureDate,departureTime,arrivalAirportCode,arrivalAirportName,arrivalCountryCode,arrivalDate,arrivalTime,adultPrice,originalAdultPrice,journeyType,journeyDuration,totalNumberOfStops,carrierCode,carrierName,availableSeats,isCheapest,airportTax,originalAirportTax,bookingFee,originalBookingFee,isOriginalBooking
TB 1001_2023-04-03,TB 1001,2023-03-30,ANR,Antwerpen,BEL,2023-04-03,06:45,AGP,Malaga,ESP,2023-04-03,09:50,299.99,299.99,Direct,03:05,,TB,TUI fly,2,False,0.0,0.0,,,False
TB 1071_2023-04-03,TB 1071,2023-03-30,OST,Brugge-Oostende,BEL,2023-04-03,16:45,AGP,Malaga,ESP,2023-04-03,19:55,229.99,229.99,Direct,03:10,,TB,TUI fly,10,True,0.0,0.0,,,False
TB 1011_2023-04-04,TB 1011,2023-03-30,BRU,Brussel,BEL,2023-04-04,06:15,AGP,Malaga,ESP,2023-04-04,09:20,209.99,209.99,Direct,03:05,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1003_2023-04-04,TB 1003,2023-03-30,ANR,Antwerpen,BEL,2023-04-04,14:15,AGP,Malaga,ESP,2023-04-04,17:20,299.99,299.99,Direct,03:05,,TB,TUI fly,2,False,0.0,0.0,,,False
TB 1013_2023-04-04,TB 1013,2023-03-30,BRU,Brussel,BEL,2023-04-04,16:00,AGP,Malaga,ESP,2023-04-04,19:05,179.99,179.99,Direct,03:05,,TB,TUI fly,10,True,0.0,0.0,,,False
TB 1417_2023-04-02,TB 1417,2023-03-30,BRU,Brussel,BEL,2023-04-02,06:30,PMI,Palma de Mallorca,ESP,2023-04-02,09:05,199.99,199.99,Direct,02:35,,TB,TUI fly,2,False,0.0,0.0,,,False
TB 1413_2023-04-04,TB 1413,2023-03-30,BRU,Brussel,BEL,2023-04-04,06:00,PMI,Palma de Mallorca,ESP,2023-04-04,08:35,294.99,294.99,Direct,02:35,,TB,TUI fly,2,False,0.0,0.0,,,False
TB 1791_2023-04-01,TB 1791,2023-03-30,LGG,Luik,BEL,2023-04-01,14:55,TFS,Tenerife,ESP,2023-04-01,18:55,179.99,179.99,Direct,05:00,,TB,TUI fly,1,True,0.0,0.0,,,False
TB 1755_2023-04-01,TB 1755,2023-03-30,BRU,Brussel,BEL,2023-04-01,16:20,TFS,Tenerife,ESP,2023-04-01,20:20,299.99,299.99,Direct,05:00,,TB,TUI fly,5,False,0.0,0.0,,,False
TB 1753_2023-04-02,TB 1753,2023-03-30,BRU,Brussel,BEL,2023-04-02,14:10,TFS,Tenerife,ESP,2023-04-02,18:10,279.99,279.99,Direct,05:00,,TB,TUI fly,1,False,0.0,0.0,,,False
TB 1801_2023-04-03,TB 1801,2023-03-30,OST,Brugge-Oostende,BEL,2023-04-03,06:00,TFS,Tenerife,ESP,2023-04-03,10:00,194.99,194.99,Direct,05:00,,TB,TUI fly,10,True,0.0,0.0,,,False
TB 1751_2023-04-03,TB 1751,2023-03-30,BRU,Brussel,BEL,2023-04-03,06:10,TFS,Tenerife,ESP,2023-04-03,10:10,249.99,249.99,Direct,05:00,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1753_2023-04-04,TB 1753,2023-03-30,BRU,Brussel,BEL,2023-04-04,06:05,TFS,Tenerife,ESP,2023-04-04,10:05,249.99,249.99,Direct,05:00,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1801_2023-04-04,TB 1801,2023-03-30,OST,Brugge-Oostende,BEL,2023-04-04,13:00,TFS,Tenerife,ESP,2023-04-04,17:00,99.99,99.99,Direct,05:00,,TB,TUI fly,5,True,0.0,0.0,,,False
TB 1941_2023-04-09,TB 1941,2023-03-30,BRU,Brussel,BEL,2023-04-09,13:35,FAO,Faro,PRT,2023-04-09,15:50,129.99,129.99,Direct,03:15,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1171_2023-04-05,TB 1171,2023-03-30,OST,Brugge-Oostende,BEL,2023-04-05,06:00,ALC,Alicante,ESP,2023-04-05,08:50,154.99,154.99,Direct,02:50,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1111_2023-04-05,TB 1111,2023-03-30,BRU,Brussel,BEL,2023-04-05,06:05,ALC,Alicante,ESP,2023-04-05,08:50,129.99,129.99,Direct,02:45,,TB,TUI fly,10,True,0.0,0.0,,,False
TB 1113_2023-04-05,TB 1113,2023-03-30,BRU,Brussel,BEL,2023-04-05,06:10,ALC,Alicante,ESP,2023-04-05,08:55,129.99,129.99,Direct,02:45,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1101_2023-04-05,TB 1101,2023-03-30,ANR,Antwerpen,BEL,2023-04-05,06:30,ALC,Alicante,ESP,2023-04-05,09:10,154.99,154.99,Direct,02:40,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1111_2023-04-06,TB 1111,2023-03-30,BRU,Brussel,BEL,2023-04-06,06:05,ALC,Alicante,ESP,2023-04-06,08:50,129.99,129.99,Direct,02:45,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1171_2023-04-06,TB 1171,2023-03-30,OST,Brugge-Oostende,BEL,2023-04-06,07:00,ALC,Alicante,ESP,2023-04-06,09:50,109.99,109.99,Direct,02:50,,TB,TUI fly,10,True,0.0,0.0,,,False
TB 1103_2023-04-06,TB 1103,2023-03-30,ANR,Antwerpen,BEL,2023-04-06,15:30,ALC,Alicante,ESP,2023-04-06,18:10,179.99,179.99,Direct,02:40,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1113_2023-04-06,TB 1113,2023-03-30,BRU,Brussel,BEL,2023-04-06,16:25,ALC,Alicante,ESP,2023-04-06,19:10,129.99,129.99,Direct,02:45,,TB,TUI fly,9,False,0.0,0.0,,,False
TB 1161_2023-04-07,TB 1161,2023-03-30,LGG,Luik,BEL,2023-04-07,06:00,ALC,Alicante,ESP,2023-04-07,08:45,159.99,159.99,Direct,02:45,,TB,TUI fly,10,True,0.0,0.0,,,False
TB 1419_2023-04-07,TB 1419,2023-03-30,BRU,Brussel,BEL,2023-04-07,06:20,ALC,Palma de Mallorca,ESP,2023-04-07,08:55,249.99,249.99,Stop Over,04:20,,TB,TUI fly,6,False,0.0,0.0,,,False
TB 1101_2023-04-07,TB 1101,2023-03-30,ANR,Antwerpen,BEL,2023-04-07,06:30,ALC,Alicante,ESP,2023-04-07,09:10,179.99,179.99,Direct,02:40,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1183_2023-04-07,TB 1183,2023-03-30,OST,Brugge-Oostende,BEL,2023-04-07,07:00,ALC,Alicante,ESP,2023-04-07,09:50,199.99,199.99,Direct,02:50,,TB,TUI fly,12,False,0.0,0.0,,,False
TB 1113_2023-04-07,TB 1113,2023-03-30,BRU,Brussel,BEL,2023-04-07,13:15,ALC,Alicante,ESP,2023-04-07,16:00,214.99,214.99,Direct,02:45,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1171_2023-04-08,TB 1171,2023-03-30,OST,Brugge-Oostende,BEL,2023-04-08,06:00,ALC,Alicante,ESP,2023-04-08,08:50,199.99,199.99,Direct,02:50,,TB,TUI fly,9,False,0.0,0.0,,,False
TB 1135_2023-04-08,TB 1135,2023-03-30,BRU,Brussel,BEL,2023-04-08,06:00,ALC,Alicante,ESP,2023-04-08,08:45,309.99,309.99,Direct,02:45,,TB,TUI fly,1,False,0.0,0.0,,,False
TB 1101_2023-04-08,TB 1101,2023-03-30,ANR,Antwerpen,BEL,2023-04-08,06:30,ALC,Alicante,ESP,2023-04-08,09:10,199.99,199.99,Direct,02:40,,TB,TUI fly,3,False,0.0,0.0,,,False
TB 1113_2023-04-08,TB 1113,2023-03-30,BRU,Brussel,BEL,2023-04-08,17:00,ALC,Alicante,ESP,2023-04-08,19:45,139.99,139.99,Direct,02:45,,TB,TUI fly,10,True,0.0,0.0,,,False
TB 1183_2023-04-09,TB 1183,2023-03-30,OST,Brugge-Oostende,BEL,2023-04-09,06:00,ALC,Alicante,ESP,2023-04-09,08:50,199.99,199.99,Direct,02:50,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1111_2023-04-09,TB 1111,2023-03-30,BRU,Brussel,BEL,2023-04-09,06:10,ALC,Alicante,ESP,2023-04-09,08:55,129.99,129.99,Direct,02:45,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1101_2023-04-09,TB 1101,2023-03-30,ANR,Antwerpen,BEL,2023-04-09,08:30,ALC,Alicante,ESP,2023-04-09,11:15,149.99,149.99,Direct,02:45,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1103_2023-04-09,TB 1103,2023-03-30,ANR,Antwerpen,BEL,2023-04-09,14:05,ALC,Alicante,ESP,2023-04-09,16:45,129.99,129.99,Direct,02:40,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1105_2023-04-09,TB 1105,2023-03-30,ANR,Antwerpen,BEL,2023-04-09,15:20,ALC,Alicante,ESP,2023-04-09,18:00,124.99,124.99,Direct,02:40,,TB,TUI fly,10,True,0.0,0.0,,,False
TB 1113_2023-04-09,TB 1113,2023-03-30,BRU,Brussel,BEL,2023-04-09,16:30,ALC,Alicante,ESP,2023-04-09,19:15,129.99,129.99,Direct,02:45,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1161_2023-04-10,TB 1161,2023-03-30,LGG,Luik,BEL,2023-04-10,06:00,ALC,Alicante,ESP,2023-04-10,08:45,134.99,134.99,Direct,02:45,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1111_2023-04-10,TB 1111,2023-03-30,BRU,Brussel,BEL,2023-04-10,06:05,ALC,Alicante,ESP,2023-04-10,08:50,129.99,129.99,Direct,02:45,,TB,TUI fly,10,True,0.0,0.0,,,False
TB 1101_2023-04-10,TB 1101,2023-03-30,ANR,Antwerpen,BEL,2023-04-10,08:00,ALC,Alicante,ESP,2023-04-10,10:40,149.99,149.99,Direct,02:40,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1171_2023-04-10,TB 1171,2023-03-30,OST,Brugge-Oostende,BEL,2023-04-10,14:30,ALC,Alicante,ESP,2023-04-10,17:20,139.99,139.99,Direct,02:50,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1171_2023-04-11,TB 1171,2023-03-30,OST,Brugge-Oostende,BEL,2023-04-11,06:00,ALC,Alicante,ESP,2023-04-11,08:50,104.99,104.99,Direct,02:50,,TB,TUI fly,10,True,0.0,0.0,,,False
TB 1135_2023-04-11,TB 1135,2023-03-30,BRU,Brussel,BEL,2023-04-11,06:15,ALC,Alicante,ESP,2023-04-11,09:00,149.99,149.99,Direct,02:45,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1101_2023-04-11,TB 1101,2023-03-30,ANR,Antwerpen,BEL,2023-04-11,07:30,ALC,Alicante,ESP,2023-04-11,10:10,109.99,109.99,Direct,02:40,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1103_2023-04-11,TB 1103,2023-03-30,ANR,Antwerpen,BEL,2023-04-11,08:35,ALC,Alicante,ESP,2023-04-11,11:15,124.99,124.99,Direct,02:40,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1417_2023-04-06,TB 1417,2023-03-30,BRU,Brussel,BEL,2023-04-06,06:20,IBZ,Palma de Mallorca,ESP,2023-04-06,08:55,249.99,249.99,Stop Over,04:10,,TB,TUI fly,4,False,0.0,0.0,,,False
TB 1417_2023-04-09,TB 1417,2023-03-30,BRU,Brussel,BEL,2023-04-09,06:30,IBZ,Palma de Mallorca,ESP,2023-04-09,09:05,249.99,249.99,Stop Over,04:10,,TB,TUI fly,8,False,0.0,0.0,,,False
TB 1011_2023-04-05,TB 1011,2023-03-30,BRU,Brussel,BEL,2023-04-05,06:05,AGP,Malaga,ESP,2023-04-05,09:10,179.99,179.99,Direct,03:05,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1071_2023-04-05,TB 1071,2023-03-30,OST,Brugge-Oostende,BEL,2023-04-05,06:30,AGP,Malaga,ESP,2023-04-05,09:40,119.99,119.99,Direct,03:10,,TB,TUI fly,9,True,0.0,0.0,,,False
TB 1003_2023-04-05,TB 1003,2023-03-30,ANR,Antwerpen,BEL,2023-04-05,13:15,AGP,Malaga,ESP,2023-04-05,16:20,199.99,199.99,Direct,03:05,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1027_2023-04-06,TB 1027,2023-03-30,BRU,Brussel,BEL,2023-04-06,06:05,AGP,Malaga,ESP,2023-04-06,09:10,249.99,249.99,Direct,03:05,,TB,TUI fly,3,False,0.0,0.0,,,False
TB 1071_2023-04-06,TB 1071,2023-03-30,OST,Brugge-Oostende,BEL,2023-04-06,06:25,AGP,Malaga,ESP,2023-04-06,09:35,119.99,119.99,Direct,03:10,,TB,TUI fly,10,True,0.0,0.0,,,False
TB 1001_2023-04-06,TB 1001,2023-03-30,ANR,Antwerpen,BEL,2023-04-06,08:05,AGP,Malaga,ESP,2023-04-06,11:10,199.99,199.99,Direct,03:05,,TB,TUI fly,8,False,0.0,0.0,,,False
TB 1003_2023-04-06,TB 1003,2023-03-30,ANR,Antwerpen,BEL,2023-04-06,13:55,AGP,Malaga,ESP,2023-04-06,17:00,169.99,169.99,Direct,03:05,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1013_2023-04-06,TB 1013,2023-03-30,BRU,Brussel,BEL,2023-04-06,15:55,AGP,Malaga,ESP,2023-04-06,19:00,199.99,199.99,Direct,03:05,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1161_2023-04-07,TB 1161,2023-03-30,LGG,Luik,BEL,2023-04-07,06:00,AGP,Alicante,ESP,2023-04-07,08:45,129.99,129.99,Stop Over,04:50,,TB,TUI fly,10,True,0.0,0.0,,,False
TB 1011_2023-04-07,TB 1011,2023-03-30,BRU,Brussel,BEL,2023-04-07,06:00,AGP,Malaga,ESP,2023-04-07,09:05,199.99,199.99,Direct,03:05,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1071_2023-04-07,TB 1071,2023-03-30,OST,Brugge-Oostende,BEL,2023-04-07,06:00,AGP,Malaga,ESP,2023-04-07,09:10,149.99,149.99,Direct,03:10,,TB,TUI fly,8,False,0.0,0.0,,,False
TB 1003_2023-04-07,TB 1003,2023-03-30,ANR,Antwerpen,BEL,2023-04-07,14:50,AGP,Malaga,ESP,2023-04-07,17:55,199.99,199.99,Direct,03:05,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1011_2023-04-08,TB 1011,2023-03-30,BRU,Brussel,BEL,2023-04-08,06:00,AGP,Malaga,ESP,2023-04-08,09:05,349.99,349.99,Direct,03:05,,TB,TUI fly,2,False,0.0,0.0,,,False
TB 1003_2023-04-08,TB 1003,2023-03-30,ANR,Antwerpen,BEL,2023-04-08,13:20,AGP,Malaga,ESP,2023-04-08,16:25,219.99,219.99,Direct,03:05,,TB,TUI fly,8,True,0.0,0.0,,,False
TB 1013_2023-04-08,TB 1013,2023-03-30,BRU,Brussel,BEL,2023-04-08,14:25,AGP,Malaga,ESP,2023-04-08,17:30,229.99,229.99,Direct,03:05,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1071_2023-04-09,TB 1071,2023-03-30,OST,Brugge-Oostende,BEL,2023-04-09,06:15,AGP,Malaga,ESP,2023-04-09,09:25,199.99,199.99,Direct,03:10,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1001_2023-04-09,TB 1001,2023-03-30,ANR,Antwerpen,BEL,2023-04-09,06:30,AGP,Malaga,ESP,2023-04-09,09:35,179.99,179.99,Direct,03:05,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1011_2023-04-09,TB 1011,2023-03-30,BRU,Brussel,BEL,2023-04-09,13:50,AGP,Malaga,ESP,2023-04-09,16:55,269.99,269.99,Direct,03:05,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1013_2023-04-09,TB 1013,2023-03-30,BRU,Brussel,BEL,2023-04-09,15:25,AGP,Malaga,ESP,2023-04-09,18:30,174.99,174.99,Direct,03:05,,TB,TUI fly,10,True,0.0,0.0,,,False
TB 1161_2023-04-10,TB 1161,2023-03-30,LGG,Luik,BEL,2023-04-10,06:00,AGP,Alicante,ESP,2023-04-10,08:45,99.99,99.99,Stop Over,04:50,,TB,TUI fly,10,True,0.0,0.0,,,False
TB 1011_2023-04-10,TB 1011,2023-03-30,BRU,Brussel,BEL,2023-04-10,06:05,AGP,Malaga,ESP,2023-04-10,09:10,164.99,164.99,Direct,03:05,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1013_2023-04-10,TB 1013,2023-03-30,BRU,Brussel,BEL,2023-04-10,06:20,AGP,Malaga,ESP,2023-04-10,09:25,159.99,159.99,Direct,03:05,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1001_2023-04-10,TB 1001,2023-03-30,ANR,Antwerpen,BEL,2023-04-10,06:45,AGP,Malaga,ESP,2023-04-10,09:50,259.99,259.99,Direct,03:05,,TB,TUI fly,6,False,0.0,0.0,,,False
TB 1003_2023-04-10,TB 1003,2023-03-30,ANR,Antwerpen,BEL,2023-04-10,14:05,AGP,Malaga,ESP,2023-04-10,17:10,189.99,189.99,Direct,03:05,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1071_2023-04-10,TB 1071,2023-03-30,OST,Brugge-Oostende,BEL,2023-04-10,16:45,AGP,Malaga,ESP,2023-04-10,19:55,129.99,129.99,Direct,03:10,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1011_2023-04-11,TB 1011,2023-03-30,BRU,Brussel,BEL,2023-04-11,06:15,AGP,Malaga,ESP,2023-04-11,09:20,149.99,149.99,Direct,03:05,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1003_2023-04-11,TB 1003,2023-03-30,ANR,Antwerpen,BEL,2023-04-11,14:15,AGP,Malaga,ESP,2023-04-11,17:20,239.99,239.99,Direct,03:05,,TB,TUI fly,4,False,0.0,0.0,,,False
TB 1013_2023-04-11,TB 1013,2023-03-30,BRU,Brussel,BEL,2023-04-11,16:00,AGP,Malaga,ESP,2023-04-11,19:05,129.99,129.99,Direct,03:05,,TB,TUI fly,10,True,0.0,0.0,,,False
TB 1417_2023-04-06,TB 1417,2023-03-30,BRU,Brussel,BEL,2023-04-06,06:20,PMI,Palma de Mallorca,ESP,2023-04-06,08:55,249.99,249.99,Direct,02:35,,TB,TUI fly,4,False,0.0,0.0,,,False
TB 1183_2023-04-07,TB 1183,2023-03-30,OST,Brugge-Oostende,BEL,2023-04-07,07:00,PMI,Alicante,ESP,2023-04-07,09:50,199.99,199.99,Stop Over,04:40,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1183_2023-04-09,TB 1183,2023-03-30,OST,Brugge-Oostende,BEL,2023-04-09,06:00,PMI,Alicante,ESP,2023-04-09,08:50,199.99,199.99,Stop Over,04:40,,TB,TUI fly,10,True,0.0,0.0,,,False
TB 1417_2023-04-09,TB 1417,2023-03-30,BRU,Brussel,BEL,2023-04-09,06:30,PMI,Palma de Mallorca,ESP,2023-04-09,09:05,249.99,249.99,Direct,02:35,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1411_2023-04-10,TB 1411,2023-03-30,BRU,Brussel,BEL,2023-04-10,06:15,PMI,Palma de Mallorca,ESP,2023-04-10,08:50,249.99,249.99,Direct,02:35,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1413_2023-04-11,TB 1413,2023-03-30,BRU,Brussel,BEL,2023-04-11,15:30,PMI,Palma de Mallorca,ESP,2023-04-11,18:05,79.99,79.99,Direct,02:35,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1791_2023-04-05,TB 1791,2023-03-30,LGG,Luik,BEL,2023-04-05,12:30,TFS,Tenerife,ESP,2023-04-05,16:30,189.99,189.99,Direct,05:00,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1811_2023-04-05,TB 1811,2023-03-30,OST,Brugge-Oostende,BEL,2023-04-05,13:10,TFS,Tenerife,ESP,2023-04-05,17:10,154.99,154.99,Direct,05:00,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1751_2023-04-05,TB 1751,2023-03-30,BRU,Brussel,BEL,2023-04-05,14:05,TFS,Tenerife,ESP,2023-04-05,18:05,134.99,134.99,Direct,05:00,,TB,TUI fly,10,True,0.0,0.0,,,False
TB 1753_2023-04-06,TB 1753,2023-03-30,BRU,Brussel,BEL,2023-04-06,12:40,TFS,Tenerife,ESP,2023-04-06,16:40,139.99,139.99,Direct,05:00,,TB,TUI fly,10,True,0.0,0.0,,,False
TB 1811_2023-04-06,TB 1811,2023-03-30,OST,Brugge-Oostende,BEL,2023-04-06,13:50,TFS,Tenerife,ESP,2023-04-06,17:50,139.99,139.99,Direct,05:00,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1753_2023-04-07,TB 1753,2023-03-30,BRU,Brussel,BEL,2023-04-07,13:35,TFS,Tenerife,ESP,2023-04-07,17:35,309.99,309.99,Direct,05:00,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1811_2023-04-07,TB 1811,2023-03-30,OST,Brugge-Oostende,BEL,2023-04-07,13:40,TFS,Tenerife,ESP,2023-04-07,17:40,199.99,199.99,Direct,05:00,,TB,TUI fly,9,False,0.0,0.0,,,False
TB 1801_2023-04-07,TB 1801,2023-03-30,OST,Brugge-Oostende,BEL,2023-04-07,15:40,TFS,Tenerife,ESP,2023-04-07,19:40,169.99,169.99,Direct,05:00,,TB,TUI fly,10,True,0.0,0.0,,,False
TB 1791_2023-04-08,TB 1791,2023-03-30,LGG,Luik,BEL,2023-04-08,14:55,TFS,Tenerife,ESP,2023-04-08,18:55,179.99,179.99,Direct,05:00,,TB,TUI fly,6,True,0.0,0.0,,,False
TB 1755_2023-04-08,TB 1755,2023-03-30,BRU,Brussel,BEL,2023-04-08,16:20,TFS,Tenerife,ESP,2023-04-08,20:20,229.99,229.99,Direct,05:00,,TB,TUI fly,8,False,0.0,0.0,,,False
TB 1753_2023-04-09,TB 1753,2023-03-30,BRU,Brussel,BEL,2023-04-09,14:10,TFS,Tenerife,ESP,2023-04-09,18:10,199.99,199.99,Direct,05:00,,TB,TUI fly,10,True,0.0,0.0,,,False
TB 1811_2023-04-09,TB 1811,2023-03-30,OST,Brugge-Oostende,BEL,2023-04-09,14:40,TFS,Tenerife,ESP,2023-04-09,18:40,199.99,199.99,Direct,05:00,,TB,TUI fly,10,False,0.0,0.0,,,False
TB 1801_2023-04-10,TB 1801,2023-03-30,OST,Brugge-Oostende,BEL,2023-04-10,06:00,TFS,Tenerife,ESP,2023-04-10,10:00,114.99,114.99,Direct,05:00,,TB,TUI fly,10,True,0.0,0.0,,,False
TB 1751_2023-04-10,TB 1751,2023-03-30,BRU,Brussel,BEL,2023-04-10,06:10,TFS,Tenerife,ESP,2023-04-10,10:10,249.99,249.99,Direct,05:00,,TB,TUI fly,10,False,0.0,0.0,,,False
