scrapeDate,flightKey,departAirport,arrivalAirport,marketingAirline,carrierName,departureDate,departureTime,arrivalDate,arrivalTime,flightNumber,totalPrice,baseFare,taxSurcharge
2023-03-29,HV 9009_2023-06-09,BRU,IBZ,HV,Transavia,2023-06-09,17:20:00,2023-06-09,19:45:00,HV 9009,223.0,185.86,37.14
2023-03-29,HV 9209_2023-06-10,BRU,HER,HV,Transavia,2023-06-10,06:35:00,2023-06-10,11:00:00,HV 9209,175.0,137.86,37.14
2023-03-29,HV 9003_2023-06-10,BRU,ALC,HV,Transavia,2023-06-10,16:20:00,2023-06-10,18:50:00,HV 9003,112.0,74.86,37.14
2023-03-29,HV 9009_2023-06-10,BRU,IBZ,HV,Transavia,2023-06-10,12:30:00,2023-06-10,14:50:00,HV 9009,163.0,125.86,37.14
2023-03-29,HV 9007_2023-06-11,BRU,FAO,HV,Transavia,2023-06-11,07:10:00,2023-06-11,09:05:00,HV 9007,87.0,49.86,37.14
2023-03-29,HV 9003_2023-06-11,BRU,ALC,HV,Transavia,2023-06-11,17:25:00,2023-06-11,19:55:00,HV 9003,112.0,74.86,37.14
2023-03-29,HV 9007_2023-06-12,BRU,FAO,HV,Transavia,2023-06-12,15:40:00,2023-06-12,17:35:00,HV 9007,87.0,49.86,37.14
2023-03-29,HV 9009_2023-06-12,BRU,IBZ,HV,Transavia,2023-06-12,06:30:00,2023-06-12,08:55:00,HV 9009,182.0,144.86,37.14
2023-03-29,HV 9211_2023-06-13,BRU,HER,HV,Transavia,2023-06-13,07:10:00,2023-06-13,11:35:00,HV 9211,131.0,93.86,37.14
2023-03-29,HV 9003_2023-06-13,BRU,ALC,HV,Transavia,2023-06-13,17:25:00,2023-06-13,19:55:00,HV 9003,101.0,63.86,37.14
2023-03-29,HV 9003_2023-06-14,BRU,ALC,HV,Transavia,2023-06-14,16:05:00,2023-06-14,18:35:00,HV 9003,101.0,63.86,37.14
2023-03-29,HV 9009_2023-06-14,BRU,IBZ,HV,Transavia,2023-06-14,06:30:00,2023-06-14,08:55:00,HV 9009,100.0,62.86,37.14
2023-03-29,HV 9007_2023-06-15,BRU,FAO,HV,Transavia,2023-06-15,16:45:00,2023-06-15,18:40:00,HV 9007,68.0,30.86,37.14
2023-03-29,HV 9003_2023-06-15,BRU,ALC,HV,Transavia,2023-06-15,06:50:00,2023-06-15,09:15:00,HV 9003,101.0,63.86,37.14
2023-03-29,HV 9007_2023-06-16,BRU,FAO,HV,Transavia,2023-06-16,07:15:00,2023-06-16,09:10:00,HV 9007,78.0,40.86,37.14
2023-03-29,HV 9009_2023-06-16,BRU,IBZ,HV,Transavia,2023-06-16,17:20:00,2023-06-16,19:45:00,HV 9009,146.0,108.86,37.14
2023-03-29,HV 9209_2023-06-17,BRU,HER,HV,Transavia,2023-06-17,06:35:00,2023-06-17,11:00:00,HV 9209,146.0,108.86,37.14
2023-03-29,HV 9003_2023-06-17,BRU,ALC,HV,Transavia,2023-06-17,16:20:00,2023-06-17,18:50:00,HV 9003,101.0,63.86,37.14
2023-03-29,HV 9009_2023-06-17,BRU,IBZ,HV,Transavia,2023-06-17,12:30:00,2023-06-17,14:50:00,HV 9009,129.0,91.86,37.14
2023-03-29,HV 9007_2023-06-18,BRU,FAO,HV,Transavia,2023-06-18,07:10:00,2023-06-18,09:05:00,HV 9007,87.0,49.86,37.14
