scrapeDate,departAirport,arrivalAirport,marketingAirline,departureDate,arrivalDate,flightNumber,totalPrice,baseFare,taxSurcharge
2023-03-23,BRU,ALC,HV,2023-06-15T06:50:00,2023-06-15T09:15:00,9003,101.0,63.86,37.14
2023-03-23,BRU,FAO,HV,2023-06-16T07:15:00,2023-06-16T09:10:00,9007,78.0,40.86,37.14
2023-03-23,BRU,IBZ,HV,2023-06-16T17:20:00,2023-06-16T19:45:00,9009,146.0,108.86,37.14
2023-03-23,BRU,HER,HV,2023-06-17T06:35:00,2023-06-17T11:00:00,9209,146.0,108.86,37.14
2023-03-23,BRU,ALC,HV,2023-06-17T16:20:00,2023-06-17T18:50:00,9003,91.0,53.86,37.14
2023-03-23,BRU,IBZ,HV,2023-06-17T12:30:00,2023-06-17T14:50:00,9009,129.0,91.86,37.14
2023-03-23,BRU,FAO,HV,2023-06-18T07:10:00,2023-06-18T09:05:00,9007,68.0,30.86,37.14
2023-03-23,BRU,ALC,HV,2023-06-18T17:25:00,2023-06-18T19:55:00,9003,91.0,53.86,37.14
2023-03-23,BRU,FAO,HV,2023-06-19T15:40:00,2023-06-19T17:35:00,9007,61.0,23.86,37.14
2023-03-23,BRU,IBZ,HV,2023-06-19T06:30:00,2023-06-19T08:55:00,9009,100.0,62.86,37.14
2023-03-23,BRU,HER,HV,2023-06-20T07:10:00,2023-06-20T11:35:00,9211,92.0,54.86,37.14
2023-03-23,BRU,ALC,HV,2023-06-20T17:25:00,2023-06-20T19:55:00,9003,91.0,53.86,37.14
2023-03-23,BRU,ALC,HV,2023-06-21T16:05:00,2023-06-21T18:35:00,9003,112.0,74.86,37.14
2023-03-23,BRU,IBZ,HV,2023-06-21T06:30:00,2023-06-21T08:55:00,9009,163.0,125.86,37.14
2023-03-23,BRU,FAO,HV,2023-06-22T16:45:00,2023-06-22T18:40:00,9007,68.0,30.86,37.14
2023-03-23,BRU,ALC,HV,2023-06-22T06:50:00,2023-06-22T09:15:00,9003,91.0,53.86,37.14
2023-03-23,BRU,FAO,HV,2023-06-23T07:15:00,2023-06-23T09:10:00,9007,97.0,59.86,37.14
2023-03-23,BRU,IBZ,HV,2023-06-23T17:20:00,2023-06-23T19:45:00,9009,114.0,76.86,37.14
2023-03-23,BRU,HER,HV,2023-06-24T06:35:00,2023-06-24T11:00:00,9209,161.0,123.86,37.14
2023-03-23,BRU,ALC,HV,2023-06-24T16:20:00,2023-06-24T18:50:00,9003,91.0,53.86,37.14
2023-03-23,BRU,IBZ,HV,2023-06-24T12:30:00,2023-06-24T14:50:00,9009,146.0,108.86,37.14
2023-03-23,BRU,FAO,HV,2023-06-25T07:10:00,2023-06-25T09:05:00,9007,149.0,111.86,37.14
2023-03-23,BRU,ALC,HV,2023-06-25T17:25:00,2023-06-25T19:55:00,9003,112.0,74.86,37.14
2023-03-23,BRU,FAO,HV,2023-06-26T15:40:00,2023-06-26T17:35:00,9007,197.0,159.86,37.14
2023-03-23,BRU,IBZ,HV,2023-06-26T06:30:00,2023-06-26T08:55:00,9009,100.0,62.86,37.14
2023-03-23,BRU,HER,HV,2023-06-27T07:10:00,2023-06-27T11:35:00,9211,146.0,108.86,37.14
2023-03-23,BRU,ALC,HV,2023-06-27T17:25:00,2023-06-27T19:55:00,9003,101.0,63.86,37.14
2023-03-23,BRU,ALC,HV,2023-06-28T16:05:00,2023-06-28T18:35:00,9003,167.0,129.86,37.14
2023-03-23,BRU,IBZ,HV,2023-06-28T06:30:00,2023-06-28T08:55:00,9009,114.0,76.86,37.14
2023-03-23,BRU,FAO,HV,2023-06-29T07:40:00,2023-06-29T09:35:00,9007,149.0,111.86,37.14
2023-03-23,BRU,HER,HV,2023-06-29T15:55:00,2023-06-29T20:20:00,9211,131.0,93.86,37.14
2023-03-23,BRU,ALC,HV,2023-06-29T06:35:00,2023-06-29T09:05:00,9003,138.0,100.86,37.14
2023-03-23,BRU,FAO,HV,2023-06-30T07:10:00,2023-06-30T09:05:00,9007,162.0,124.86,37.14
2023-03-23,BRU,IBZ,HV,2023-06-30T16:50:00,2023-06-30T19:15:00,9023,105.0,67.86,37.14
2023-03-23,BRU,AGP,HV,2023-06-30T16:00:00,2023-06-30T18:50:00,9033,184.0,146.86,37.14
2023-03-23,BRU,FAO,HV,2023-07-01T17:05:00,2023-07-01T19:00:00,9011,111.0,73.86,37.14
2023-03-23,BRU,HER,HV,2023-07-01T06:35:00,2023-07-01T11:00:00,9209,328.0,290.86,37.14
2023-03-23,BRU,ALC,HV,2023-07-01T16:30:00,2023-07-01T19:00:00,9015,234.0,196.86,37.14
2023-03-23,BRU,TFS,HV,2023-07-01T07:00:00,2023-07-01T10:30:00,9061,301.0,263.86,37.14
2023-03-23,BRU,FAO,HV,2023-07-02T07:30:00,2023-07-02T09:25:00,9007,204.0,166.86,37.14
2023-03-23,BRU,ALC,HV,2023-07-02T18:40:00,2023-07-02T21:05:00,9121,204.0,166.86,37.14
2023-03-23,BRU,IBZ,HV,2023-07-02T15:30:00,2023-07-02T17:55:00,9009,208.0,170.86,37.14
2023-03-23,BRU,AGP,HV,2023-07-02T17:05:00,2023-07-02T19:55:00,9033,167.0,129.86,37.14
2023-03-23,BRU,FAO,HV,2023-07-03T07:15:00,2023-07-03T09:10:00,9021,148.0,110.86,37.14
2023-03-23,BRU,ALC,HV,2023-07-03T18:25:00,2023-07-03T20:50:00,9121,189.0,151.86,37.14
2023-03-23,BRU,IBZ,HV,2023-07-03T15:35:00,2023-07-03T18:00:00,9009,208.0,170.86,37.14
2023-03-23,BRU,AGP,HV,2023-07-03T07:30:00,2023-07-03T10:20:00,9033,167.0,129.86,37.14
2023-03-23,BRU,FAO,HV,2023-07-04T07:20:00,2023-07-04T09:15:00,9007,134.0,96.86,37.14
2023-03-23,BRU,HER,HV,2023-07-04T07:15:00,2023-07-04T11:40:00,9211,206.0,168.86,37.14
2023-03-23,BRU,ALC,HV,2023-07-04T16:10:00,2023-07-04T18:40:00,9005,204.0,166.86,37.14
2023-03-23,BRU,AGP,HV,2023-07-04T15:55:00,2023-07-04T18:45:00,9033,152.0,114.86,37.14
2023-03-23,BRU,ALC,HV,2023-07-05T16:20:00,2023-07-05T18:45:00,9005,176.0,138.86,37.14
2023-03-23,BRU,IBZ,HV,2023-07-05T06:30:00,2023-07-05T08:55:00,9009,208.0,170.86,37.14
2023-03-23,BRU,AGP,HV,2023-07-05T17:05:00,2023-07-05T19:55:00,9031,138.0,100.86,37.14
2023-03-23,BRU,TFS,HV,2023-07-05T06:30:00,2023-07-05T10:00:00,9061,257.0,219.86,37.14
2023-03-23,BRU,FAO,HV,2023-07-06T07:40:00,2023-07-06T09:35:00,9007,162.0,124.86,37.14
2023-03-23,BRU,HER,HV,2023-07-06T15:55:00,2023-07-06T20:20:00,9211,175.0,137.86,37.14
2023-03-23,BRU,ALC,HV,2023-07-06T06:35:00,2023-07-06T09:05:00,9003,176.0,138.86,37.14
2023-03-23,BRU,AGP,HV,2023-07-06T16:45:00,2023-07-06T19:35:00,9033,167.0,129.86,37.14
2023-03-23,BRU,FAO,HV,2023-07-07T07:10:00,2023-07-07T09:05:00,9007,204.0,166.86,37.14
2023-03-23,BRU,IBZ,HV,2023-07-07T16:50:00,2023-07-07T19:15:00,9023,135.0,97.86,37.14
2023-03-23,BRU,AGP,HV,2023-07-07T16:00:00,2023-07-07T18:50:00,9033,184.0,146.86,37.14
2023-03-23,BRU,FAO,HV,2023-07-08T17:05:00,2023-07-08T19:00:00,9011,134.0,96.86,37.14
2023-03-23,BRU,HER,HV,2023-07-08T06:35:00,2023-07-08T11:00:00,9209,292.0,254.86,37.14
2023-03-23,BRU,ALC,HV,2023-07-08T16:30:00,2023-07-08T19:00:00,9015,234.0,196.86,37.14
2023-03-23,BRU,TFS,HV,2023-07-08T07:00:00,2023-07-08T10:30:00,9061,301.0,263.86,37.14
2023-03-23,BRU,FAO,HV,2023-07-09T07:30:00,2023-07-09T09:25:00,9007,204.0,166.86,37.14
2023-03-23,BRU,ALC,HV,2023-07-09T18:40:00,2023-07-09T21:05:00,9121,189.0,151.86,37.14
2023-03-23,BRU,IBZ,HV,2023-07-09T15:30:00,2023-07-09T17:55:00,9009,172.0,134.86,37.14
