scrapeDate,departureAirportCode,departureAirportName,departureCountryCode,arrivalAirportCode,arrivalAirportName,arrivalCountryCode,duration,aantalTussenstops,availableSeats,flightNumber,carrierCode,carrierName,departureDate,departureTime,arrivalDate,arrivalTime,totalPrice,taxIncludedInPrice
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,05:40,1,9,SN5629,SN,BRUSSELS AIRLINES,2023-05-06,06:55:00+02:00,2023-05-06,13:35:00+03:00,677.58,143.58
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,02:45,0,9,SN3259,SN,BRUSSELS AIRLINES,2023-05-07,07:00:00+02:00,2023-05-07,10:45:00+03:00,265.14,76.14
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,06:40,1,9,SN5629,SN,BRUSSELS AIRLINES,2023-05-07,06:55:00+02:00,2023-05-07,14:35:00+03:00,580.58,143.58
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,09:05,1,9,SN4545,SN,BRUSSELS AIRLINES,2023-05-10,06:55:00+02:00,2023-05-10,17:00:00+03:00,302.38,113.38
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,09:40,2,9,SN4551,SN,BRUSSELS AIRLINES,2023-05-10,06:20:00+02:00,2023-05-10,17:00:00+03:00,357.96,168.96
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,12:20,1,9,SN5589,SN,BRUSSELS AIRLINES,2023-05-11,19:15:00+02:00,2023-05-12,08:35:00+03:00,285.88,126.88
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,12:35,2,8,SN5631,SN,BRUSSELS AIRLINES,2023-05-11,19:00:00+02:00,2023-05-12,08:35:00+03:00,332.32,173.32
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,12:20,1,1,SN5589,SN,BRUSSELS AIRLINES,2023-05-13,19:15:00+02:00,2023-05-14,08:35:00+03:00,207.88,100.88
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,18:20,2,2,SN5589,SN,BRUSSELS AIRLINES,2023-05-13,19:15:00+02:00,2023-05-14,14:35:00+03:00,389.32,200.32
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,05:40,1,4,SN5629,SN,BRUSSELS AIRLINES,2023-05-13,06:55:00+02:00,2023-05-13,13:35:00+03:00,430.58,143.58
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,18:20,2,9,SN5589,SN,BRUSSELS AIRLINES,2023-05-13,19:15:00+02:00,2023-05-14,14:35:00+03:00,557.32,218.32
