scrapeDate,flightNumber,departureAirportCode,departureAirportName,arrivalAirportCode,arrivalAirportName,departureDate,arrivalDate,carrierName,duration_formatted,price,originalPrice,hasDiscount,hasPromoDiscount,discountAmount,fareType,availableSeats
2023-03-16,FR 7831,CRL,Brussels (Charleroi),PMI,Mallorca,2023-04-27T17:45:00.000,2023-04-27T19:55:00.000,Lauda Europe,02:10,80.79,90.99,True,False,10.2,ADT,3
2023-03-16,FR 563,CRL,Brussels (Charleroi),TFS,Tenerife (South),2023-04-27T20:00:00.000,2023-04-27T23:35:00.000,Ryanair,04:35,80.19,83.99,True,False,3.8,ADT,-1
2023-03-16,FR 2915,BRU,Brussels,PMI,Mallorca,2023-04-28T11:00:00.000,2023-04-28T13:15:00.000,Ryanair,02:15,131.59,139.99,True,False,8.4,ADT,5
2023-03-16,FR 8577,CRL,Brussels (Charleroi),RHO,Rhodes,2023-04-28T07:55:00.000,2023-04-28T12:30:00.000,Ryanair,03:35,289.02,314.22,True,False,25.2,ADT,3
2023-03-16,FR 7737,CRL,Brussels (Charleroi),BDS,Brindisi,2023-04-28T07:00:00.000,2023-04-28T09:25:00.000,Ryanair,02:25,215.91,230.99,True,False,15.08,ADT,2
2023-03-16,FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-04-28T09:10:00.000,2023-04-28T11:25:00.000,Malta Air,02:15,166.27,166.27,False,False,0.0,ADT,3
2023-03-16,FR 1310,CRL,Brussels (Charleroi),NAP,Naples,2023-04-28T20:00:00.000,2023-04-28T22:15:00.000,Malta Air,02:15,110.73,110.73,False,False,0.0,ADT,-1
2023-03-16,FR 6269,CRL,Brussels (Charleroi),PMO,Palermo,2023-04-28T16:35:00.000,2023-04-28T19:05:00.000,Ryanair,02:30,193.83,206.99,True,False,13.16,ADT,-1
2023-03-16,FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-04-28T07:05:00.000,2023-04-28T09:00:00.000,Ryanair,02:55,101.59,101.59,False,False,0.0,ADT,-1
2023-03-16,FR 6312,CRL,Brussels (Charleroi),FAO,Faro,2023-04-28T17:30:00.000,2023-04-28T19:25:00.000,Ryanair,02:55,77.39,77.39,False,False,0.0,ADT,1
2023-03-16,FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-04-28T09:45:00.000,2023-04-28T12:10:00.000,Ryanair,02:25,275.22,294.22,True,False,19.0,ADT,1
2023-03-16,FR 9053,CRL,Brussels (Charleroi),ALC,Alicante,2023-04-28T17:20:00.000,2023-04-28T19:45:00.000,Ryanair,02:25,231.19,246.99,True,False,15.8,ADT,3
2023-03-16,FR 6456,CRL,Brussels (Charleroi),IBZ,Ibiza,2023-04-28T16:15:00.000,2023-04-28T18:40:00.000,Ryanair,02:25,112.5,112.5,False,False,0.0,ADT,-1
2023-03-16,FR 1928,CRL,Brussels (Charleroi),AGP,Malaga,2023-04-28T10:00:00.000,2023-04-28T12:45:00.000,Ryanair,02:45,206.99,214.99,True,False,8.0,ADT,-1
2023-03-16,FR 1916,CRL,Brussels (Charleroi),AGP,Malaga,2023-04-28T20:55:00.000,2023-04-28T23:40:00.000,Ryanair,02:45,155.09,155.09,False,False,0.0,ADT,2
2023-03-16,FR 563,CRL,Brussels (Charleroi),TFS,Tenerife (South),2023-04-28T06:30:00.000,2023-04-28T10:05:00.000,Ryanair,04:35,115.44,115.44,False,False,0.0,ADT,1
2023-03-16,FR 7986,CRL,Brussels (Charleroi),HER,Heraklion Crete,2023-04-29T08:10:00.000,2023-04-29T12:35:00.000,Ryanair,03:25,298.62,324.22,True,False,25.6,ADT,1
2023-03-16,FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-04-29T07:45:00.000,2023-04-29T10:00:00.000,Ryanair,02:15,148.86,148.86,False,False,0.0,ADT,-1
