scrapeDate,flightNumber,departureAirportCode,departureAirportName,arrivalAirportCode,arrivalAirportName,departureDate,arrivalDate,carrierName,duration_formatted,price,originalPrice,hasDiscount,hasPromoDiscount,discountAmount,fareType,availableSeats,flightKey
2023-03-09,FR 9053,CRL,Brussels (Charleroi),ALC,Alicante,2023-08-23T14:45:00.000,2023-08-23T17:10:00.000,Ryanair,02:25,37.31,38.99,True,False,1.68,ADT,-1,UFGJTDLS3P7OJ4F3MSM6O7K2EQTVARSAU5TFGAHI4HXZV2MLCYJBYBKLOHACCPMLGB44MNP5JW4RPCBDV6CLIZTVPDOMDGB4NMP52TXYG7D6NOW763NRM7C6KNV65CBPBPEUWKDJODEQEALFBKDCVM23N4CVMF6BPUFUE3BRR776J3RHGKGBTGCV63LKK3X4Y3BE6WTRSYRXTDVIJRMRF4BUI5NQRWFP5VYDNB5KOCZ3XLXXZHUD22W22QORVUMT
2023-03-09,FR 6063,CRL,Brussels (Charleroi),ALC,Alicante,2023-08-23T21:55:00.000,2023-08-24T00:20:00.000,Ryanair,02:25,31.39,32.99,True,False,1.6,ADT,2,L2JSVEIUVCTHJLITJUXHUWDJLDLETSJUW2AHEXCO2NVAXBURTLL2XWX6TYKYRM2HGAGDI2V5QDMDIFH6TX2JB7LLIHEW2SYVN2RII7XP4ZRYCFVMMYCIGXKNLSMMVPB6LPMU7HZBZHK4UISQRUI4GF7OXYUKEB4J7HO5MFWL5MWODJ6UF5SJILEBXQZ5CTEODK625US7EVXMLEPBC5DQDIJSWP6BXMLKKZSO7D2KEC7PFJBUBWQKK3KB2ZVYMJOV
2023-03-09,FR 1916,CRL,Brussels (Charleroi),AGP,Malaga,2023-08-23T06:45:00.000,2023-08-23T09:30:00.000,Ryanair,02:45,46.59,50.99,True,False,4.4,ADT,-1,HFGYYXUC4LZHDXQWVW26LIGKINED2VIGBSCWY76H3FWXYUGU4QMZJGREAKHFQZSXQBS7TICFHFQSOUCE3ATA5UINTC2EORDG64G4UKPYAMFFVC5NYKPHGFI5XVQJ5M2XGQBC6ITKOZOOT5JHDV4ZLW3A6AT5LL4CQOSU2FQBE742ZVUQ4U3UYSD3P6I6IXU4HW72JU5BOPBXL2NMQS2UEAD2QT7DFFZPVLBYA2DF7NAUZ2FIG6DQO37ASPO77YAX
2023-03-09,FR 7831,CRL,Brussels (Charleroi),PMI,Mallorca,2023-08-23T06:55:00.000,2023-08-23T09:05:00.000,Ryanair,02:10,57.12,58.99,True,False,1.87,ADT,3,NAENFRSGPWMWAHUUV6HRLHB47723PP67Q2S4MPC2SPZCDCDY6TTSJVUWZVEUAROLVVNK4WRTMKS6HL4TCGL4OQAAR7NUVP4FZFONWJVFLQ5YKSWMCVBCEQPQA7PIRYVJKO7GQWCDVLOGTXJCPHFJBJVF54CHFLN4EEM3L5PHSVPVDP4UGHWS625KXGC2W3OKWZNI7ZYQSZYHQVTASAVYHU2K3Q3IKJO7ND663FGJO3TAL2TCWRA3LFFNFQ3NCDT3
2023-03-09,FR 6251,CRL,Brussels (Charleroi),CFU,Corfu,2023-08-24T18:20:00.000,2023-08-24T22:00:00.000,Ryanair,02:40,42.62,44.99,True,False,2.37,ADT,-1,BHZN743HJWH6BX3NYURSOSESUFZGVIQHA5PTM3T7KHLHMI4GZEMVHEWGZ5DLL27BQBJFA3TBGSA2GQ3TPJZ6SMEKVWQECZRI4X46JSKVLZO3O3UMR3GXF4YJHMLGYUSTUSGOKRG3SYXFAX3IYKD2ZK3MEVTHADKUHJSJUFJ7METWIXPQDGMFVUUKJDX6KXLSW5TO7HPSR6MLFI6KOYYYCWEUVPSCS7GEEJUX4UWULYTUG5RSJRQGYAGSOOMBTP4C
2023-03-09,FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-08-24T06:25:00.000,2023-08-24T08:40:00.000,Ryanair,02:15,40.91,40.91,False,False,0.0,ADT,-1,MD3L5INORXOJOEDRBM26QLEMW5H7JXOQUZM7LQHCWKF3Q6CQRGDNYQDKR5XFFP3ZI7SJNROYK5WXBCF6BL6KGNWG23XLNUN4YZM6EMD5YJFHDVYTOA7HJ766OVK4WHIPKHGUUGAMPWZWWQYYBYISYAU4UVRBR2W546JIRYSWB2W7INRFFHGJDYIO2BJI7JV5W44ZIMQTXUWLGRGIWYK3OIG7T3PPBG42RSOTUW2CIGJTBB52RPZ4RK6UTQZLI4PM
2023-03-09,FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-08-24T11:25:00.000,2023-08-24T13:20:00.000,Ryanair,02:55,37.31,38.99,True,False,1.68,ADT,1,UFGJTDLS3P7OJ4F3MSM6O7K2ESI7CJM37UIDN27RKXBIBH7KS5YLCLFFALM3HN3KRUIJKUHBE2VDG5ZKBXHTH3RHIX6S3POLJSPRIMA2LGWKY7DBSSHL7WAK5PVHZZVGVHZIYPYKYJIPHN7DXGRWOVE6KWXRVUYYANJRRNMESCEXYKWWXY5IJU2THDZO2XDRDZTJMGOY2J7FGQUA55CMZTN3UOAZ4NB55ZORCUZRVHDDHCXCDKDRLE6IZAVWBP5A
2023-03-09,FR 9053,CRL,Brussels (Charleroi),ALC,Alicante,2023-08-24T09:00:00.000,2023-08-24T11:25:00.000,Ryanair,02:25,32.99,32.99,False,False,0.0,ADT,-1,L2JSVEIUVCTHJLITJUXHUWDJLDLETSJUW2AHEXCO2NVAXBURTLL7NCFSZAEBDN3J3CTUMYGXEC6TYM5Z3FTJPWQC4WFKLIAMCAGVQXR7JWQTWVY3G74YXPSH7YER2PV3NXTOYSIU7VPYCWLGETDADZQHKKBNDBDXJ4Q44SK2XQQSIJ7ZKV2DEGR2OP7Q2ATBJNS6SRZMYBZOQ27GMYKIGRTNCWX2YTQRCACNRKY
2023-03-09,FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-08-24T15:05:00.000,2023-08-24T17:30:00.000,Ryanair,02:25,54.29,54.29,False,False,0.0,ADT,3,HFGYYXUC4LZHDXQWVW26LIGKINNV5HRPQEXVKISW74LKDSWDCD3MHXRZMYFDGW3BAMNO6S5D6VSIRSUKV66YUFIEZJJWDLPJHDSAYQIN6VLTLVFUG5GCAG6ZBLAJJBEKAXB2IQCQQO4C5XPBDIJMHOLFEP6HQ62V74EHTGVKQLWYNRKA34RS2TSYVEQJW55XYA6WH4DJGA5FFEOBKOOKZ4NBY43GSSE6AAF67LOVIQJYV2PLKPTIMZH4FAZBT2IR
2023-03-09,FR 6456,CRL,Brussels (Charleroi),IBZ,Ibiza,2023-08-24T10:20:00.000,2023-08-24T12:45:00.000,Ryanair,02:25,85.28,85.28,False,False,0.0,ADT,-1,RGL3HN4QJIDKNE2ADEU44AE2W6PRZGBZQNTA57QM62IEQPGJDDJRSHYSRGPY23UFJQPTY2P2QX6P4DOABUOGZZJ7ZMQIA54LNI4GRUMZ34Z4EZVS2ZYMVO5N6WFZXSYMUXJUECCJCWNIATOGVCI77LVPEWU6O4UBXUWQXW4PXQFKI7JKCRXHVG7VT5ZVSRZJNESXUMYF6H7VPBTU4YNEIMHNB56DXGF5ZU5DXV622GOJHB5WDVHTUK4NI2OVGQQD
