scrapeDate,flightKey,flightNumber,departureAirportCode,departureAirportName,arrivalAirportCode,arrivalAirportName,departureDate,departureTime,arrivalDate,arrivalTime,carrierCode,carrierName,duration_formatted,price,originalPrice,hasDiscount,hasPromoDiscount,discountAmount,fareType,availableSeats
2023-03-29,FR 2915_2023-05-03,FR 2915,BRU,Brussels,PMI,Mallorca,2023-05-03,17:25:00,2023-05-03,19:40:00,FR,Ryanair,02:15,61.69,67.99,True,False,6.3,ADT,-1
2023-03-29,FR 8577_2023-05-03,FR 8577,CRL,Brussels (Charleroi),RHO,Rhodes,2023-05-03,13:10:00,2023-05-03,17:45:00,FR,Ryanair,03:35,161.17,161.17,False,False,0.0,ADT,-1
2023-03-29,FR 1302_2023-05-03,FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-05-03,16:35:00,2023-05-03,18:50:00,FR,Ryanair,02:15,172.8,172.8,False,False,0.0,ADT,4
2023-03-29,FR 6269_2023-05-03,FR 6269,CRL,Brussels (Charleroi),PMO,Palermo,2023-05-03,09:25:00,2023-05-03,11:55:00,FR,Malta Air,02:30,125.22,286.22,True,False,161.0,ADT,-1
2023-03-29,FR 2941_2023-05-03,FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-05-03,12:25:00,2023-05-03,14:20:00,FR,Ryanair,02:55,93.79,93.79,False,False,0.0,ADT,-1
2023-03-29,FR 6312_2023-05-03,FR 6312,CRL,Brussels (Charleroi),FAO,Faro,2023-05-03,16:20:00,2023-05-03,18:15:00,FR,Ryanair,02:55,61.69,67.99,True,False,6.3,ADT,-1
2023-03-29,FR 3534_2023-05-03,FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-05-03,10:00:00,2023-05-03,12:25:00,FR,Ryanair,02:25,190.49,190.49,False,False,0.0,ADT,-1
2023-03-29,FR 9053_2023-05-03,FR 9053,CRL,Brussels (Charleroi),ALC,Alicante,2023-05-03,14:45:00,2023-05-03,17:10:00,FR,Ryanair,02:25,174.74,185.99,True,False,11.25,ADT,4
2023-03-29,FR 6063_2023-05-03,FR 6063,CRL,Brussels (Charleroi),ALC,Alicante,2023-05-03,21:55:00,2023-05-04,00:20:00,FR,Ryanair,02:25,97.39,97.39,False,False,0.0,ADT,3
2023-03-29,FR 1916_2023-05-03,FR 1916,CRL,Brussels (Charleroi),AGP,Malaga,2023-05-03,06:45:00,2023-05-03,09:30:00,FR,Ryanair,02:45,113.12,120.99,True,False,7.87,ADT,-1
2023-03-29,FR 7831_2023-05-03,FR 7831,CRL,Brussels (Charleroi),PMI,Mallorca,2023-05-03,06:55:00,2023-05-03,09:05:00,FR,Ryanair,02:10,115.79,115.79,False,False,0.0,ADT,-1
2023-03-29,FR 1302_2023-05-04,FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-05-04,06:25:00,2023-05-04,08:40:00,FR,Ryanair,02:15,102.65,102.65,False,False,0.0,ADT,4
2023-03-29,FR 2941_2023-05-04,FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-05-04,11:25:00,2023-05-04,13:20:00,FR,Ryanair,02:55,82.99,90.99,True,False,8.0,ADT,-1
2023-03-29,FR 9053_2023-05-04,FR 9053,CRL,Brussels (Charleroi),ALC,Alicante,2023-05-04,09:00:00,2023-05-04,11:25:00,FR,Ryanair,02:25,132.94,139.99,True,False,7.05,ADT,2
2023-03-29,FR 3534_2023-05-04,FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-05-04,15:05:00,2023-05-04,17:30:00,FR,Ryanair,02:25,149.39,149.39,False,False,0.0,ADT,-1
2023-03-29,FR 6456_2023-05-04,FR 6456,CRL,Brussels (Charleroi),IBZ,Ibiza,2023-05-04,10:20:00,2023-05-04,12:45:00,FR,Ryanair,02:25,124.23,124.23,False,False,0.0,ADT,2
2023-03-29,FR 1916_2023-05-04,FR 1916,CRL,Brussels (Charleroi),AGP,Malaga,2023-05-04,17:30:00,2023-05-04,20:15:00,FR,Ryanair,02:45,134.64,134.64,False,False,0.0,ADT,1
2023-03-29,FR 7831_2023-05-04,FR 7831,CRL,Brussels (Charleroi),PMI,Mallorca,2023-05-04,10:15:00,2023-05-04,12:25:00,FR,Ryanair,02:10,80.59,90.99,True,False,10.4,ADT,-1
2023-03-29,FR 563_2023-05-04,FR 563,CRL,Brussels (Charleroi),TFS,Tenerife (South),2023-05-04,20:00:00,2023-05-04,23:35:00,FR,Ryanair,04:35,87.89,95.99,True,False,8.1,ADT,-1
2023-03-29,FR 2915_2023-05-05,FR 2915,BRU,Brussels,PMI,Mallorca,2023-05-05,11:00:00,2023-05-05,13:15:00,FR,Ryanair,02:15,201.49,214.99,True,False,13.5,ADT,5
2023-03-29,FR 8577_2023-05-05,FR 8577,CRL,Brussels (Charleroi),RHO,Rhodes,2023-05-05,07:55:00,2023-05-05,12:30:00,FR,Ryanair,03:35,108.55,117.99,True,False,9.44,ADT,-1
